Date,Month,Username,Item,Price,Category,Shoppingtype
12/3/2013,Dec-13,Stavan,MACY'S,85.47,C,ONLSTR
12/5/2013,Dec-13,Stavan,ATT*WI-FI SERVICES WAYPORT,14.95,S,ONLONL
12/7/2013,Dec-13,Stavan,ATT*WI-FI SERVICES WAYPORT,14.95,S,ONLONL
12/11/2013,Dec-13,Stavan,Firehaus,115,F,STRSTR
12/13/2013,Dec-13,Stavan,CHIPOTLE 0771,8.81,F,ONLSTR
12/14/2013,Dec-13,Stavan,CHIPOTLE 0771,8.81,F,ONLSTR
12/16/2013,Dec-13,Stavan,FANDANGO.COM,24.00,S,ONLONL
12/17/2013,Dec-13,Stavan,Subway,7.57,F,STRSTR
12/20/2013,Dec-13,Stavan,AMEREN ILLINOIS ONLINE PMT,217.17,S,ONLONL
12/22/2013,Dec-13,Stavan,ZARA,110.34,C,ONLONL
12/30/2013,Dec-13,Stavan,AMAZON.COM,320.99,E,ONLONL
1/1/2014,Jan-14,Stavan,APPLE.COM,356.79,E,ONLONL
1/3/2014,Jan-14,Stavan,FANDANGO.COM,24.00,S,ONLONL
1/9/2014,Jan-14,Stavan,PINSTRIPES S BARRINGTON IL,6,F,STRSTR
1/13/2014,Jan-14,Stavan,ZARA,179.51,C,ONLONL
1/14/2014,Jan-14,Stavan,Subway,7.57,F,STRSTR
1/14/2014,Jan-14,Stavan,FANDANGO.COM,24.00,S,ONLONL
1/20/2014,Jan-14,Stavan,AMEREN ILLINOIS ONLINE PMT,285.11,S,ONLONL
1/20/2014,Jan-14,Stavan,CHIPOTLE 0771,8.81,F,ONLSTR
1/21/2014,Jan-14,Stavan,COUNTY MARKET,21.35,G,STRSTR
1/21/2014,Jan-14,Stavan,MACY'S,115.66,C,STRSTR
1/22/2014,Jan-14,Stavan,Brother's,39,F,STRSTR
1/23/2014,Jan-14,Stavan,Legends,23.00,F,STRSTR
1/24/2014,Jan-14,Stavan,Murphy's,12,F,STRSTR
1/25/2014,Jan-14,Stavan,Brother's,52,F,STRSTR
1/27/2014,Jan-14,Stavan,WALMART,53.00,G,STRSTR
1/29/2014,Jan-14,Stavan,CHIPOTLE 0771,8.81,F,ONLSTR
1/30/2014,Jan-14,Stavan,Brother's,68,F,STRSTR
2/4/2014,Feb-14,Stavan,ZARA,75.62,C,ONLSTR
2/5/2014,Feb-14,Stavan,COUNTY MARKET,21.35,G,STRSTR
2/5/2014,Feb-14,Stavan,WALMART,25.00,G,STRSTR
2/11/2014,Feb-14,Stavan,Legends,35,F,STRSTR
2/13/2014,Feb-14,Stavan,Subway,8.58,F,STRSTR
2/13/2014,Feb-14,Stavan,MACY'S,245.11,C,ONLONL
2/14/2014,Feb-14,Stavan,COUNTY MARKET,21.35,G,STRSTR
2/14/2014,Feb-14,Stavan,SAVOY 16,16.00,S,ONLSTR
2/15/2014,Feb-14,Stavan,Murphy's,15,F,STRSTR
2/17/2014,Feb-14,Stavan,SWAROVSKI,110.55,C,STRSTR
2/18/2014,Feb-14,Stavan,AMAZON.COM,47.99,E,ONLONL
2/20/2014,Feb-14,Stavan,AMEREN ILLINOIS ONLINE PMT,244.65,S,ONLONL
2/22/2014,Feb-14,Stavan,COUNTY MARKET,21.35,G,STRSTR
2/24/2014,Feb-14,Stavan,CHIPOTLE 0771,8.81,F,ONLSTR
2/27/2014,Feb-14,Stavan,Legends,13,F,STRSTR
2/28/2014,Feb-14,Stavan,Murphy's,18,F,STRSTR
3/4/2014,Mar-14,Stavan,Subway,8.58,F,STRSTR
3/6/2014,Mar-14,Stavan,EINSTEIN'S #6182 STORE,1.48,F,STRSTR
