Item,Category,Type,Price,Date
DUANE READE NEW YORK NY,G,STRSTR,13.81,11/4/2013
PANERA BREAD,F,STRSTR,9.28,11/4/2013
STARBUCKS,F,STRSTR,4.70,11/5/2013
CHIPOTLE,F,STRSTR,6.83,11/6/2013
ZAS ITALIAN CAFE - CHA CHAMPAIGN IL,F,STRSTR,7.65,11/7/2013
BANGKOK THAI INC CHAMPAIGN IL,F,STRSTR,8.65,11/8/2013
COUNTY MARKET 515 CHAMPAIGN IL,G,STRSTR,16.09,11/8/2013
ANTONIOS PIZZA - NEW CHAMPAIGN IL,F,STRSTR,9.30,11/9/2013
AMBAR INDIA CHAMPAIGN IL,F,STRSTR,10.00,11/10/2013
STARBUCKS,F,STRSTR,4.37,11/11/2013
COLDSTONE #22162 CHAMPAIGN IL,F,STRSTR,4.58,11/12/2013
METRA UNION STATION CSHAPERO@FAIRIL,S,STRSTR,6.75,11/15/2013
POTBELLY 071 CHICAGO IL,F,STRSTR,8.84,11/15/2013
ONLINE FOOD ORDER - EC BALTIMORE MD,F,ONLONL,21.66,11/17/2013
CHIPOTLE 0771 CHAMPAIGN IL,F,STRSTR,8.79,11/18/2013
DAIRY QUEEN #11400 URBANA IL,F,STRSTR,3.59,11/19/2013
BEVANDE URBANA IL,F,STRSTR,3.99,11/20/2013
STARBUCKS,F,STRSTR,10.00,11/22/2013
PAPA JOHN'S,F,ONLONL,14.38,11/23/2013
MIRCH MASALA GROCERY,G,STRSTR,31.72,12/1/2013
PAPA DELS PIZZA CHAMPAIGN IL,F,STRSTR,3.95,12/1/2013
WALGREENS #1156 CHAMPAIGN IL,G,STRSTR,13.23,12/1/2013
CHIPOTLE 0771 CHAMPAIGN IL,F,STRSTR,6.83,12/3/2013
ZAS ITALIAN CAFE - CHA CHAMPAIGN IL,F,STRSTR,7.65,12/4/2013
CREPE DELICIOUS URBANA IL,F,STRSTR,8.58,12/5/2013
EINSTEIN'S #6182 STORE URBANA IL,F,STRSTR,4.10,12/5/2013
INSOMNIA COOKIES - JOH CHAMPAIGN IL,F,STRSTR,14.21,12/5/2013
POTBELLY 069 CHAMPAIGN IL,F,STRSTR,5.57,12/5/2013
BANGKOK THAI INC CHAMPAIGN IL,F,STRSTR,8.65,12/7/2013
COCOMERO LLC CHAMPAIGN IL10175,F,STRSTR,4.76,12/8/2013
SAKANAYA CHAMPAIGN IL,F,STRSTR,15.05,12/8/2013
STARBUCKS,F,STRSTR,11.39,12/9/2013
COUNTY MARKET 515 CHAMPAIGN IL,G,STRSTR,20.53,12/10/2013
JIMMY JOHNS - 90036 - URBANA IL,F,ONLONL,7.50,12/10/2013
COUNTY MARKET 515 CHAMPAIGN IL,G,STRSTR,20.51,12/11/2013
VENTRA VENDING 05302 CHICAGO IL,S,STRSTR,5.00,12/11/2013
THAI URBAN KITCHEN CHICAGO IL,F,STRSTR,26.20,12/12/2013
BEVANDE URBANA IL,F,STRSTR,6.06,12/13/2013
TACO BELL #16248 URBANA IL,F,STRSTR,6.75,12/14/2013
NOODLES & COMPANY 9502 CHAMPAIGN IL01555R,F,STRSTR,7.92,12/15/2013
STARBUCKS,F,STRSTR,10.00,12/15/2013
ZAS ITALIAN CAFE - CHA CHAMPAIGN IL,F,STRSTR,10.93,12/16/2013
COUNTY MARKET 515 CHAMPAIGN IL,G,STRSTR,10.11,12/18/2013
PANERA BREAD #1369 CHAMPAIGN IL,F,STRSTR,12.00,12/18/2013
CHIPOTLE 0771 CHAMPAIGN IL,F,STRSTR,6.83,12/19/2013
FLAT TOP GRILL #214 CHAMPAIGN IL513399,F,STRSTR,10.82,12/21/2013
TARGET VERNON HILLS IL,G,STRSTR,5.00,12/23/2013
CREPE DELICIOUS OF IL IN URBANA IL,F,STRSTR,5.99,1/22/2014
HOUSING DINING SERVICES,F,STRSTR,14.44,1/22/2014
BEYOND THE WALL STROUDSBURG PA,H,ONLONL,22.52,1/23/2014
STARBUCKS CARD RELOAD,F,ONLONL,10.00,1/23/2014
THINKGEEK INC,E,ONLONL,31.52,1/27/2014
JIMMY JOHN'S,F,ONLSTR,6.80,1/28/2014
NOODLES & COMPANY,F,STRSTR,10.11,1/28/2014
WALGREENS,G,STRSTR,31.30,1/28/2014
CREPE DELICIOUS,F,STRSTR,5.99,1/29/2014
INSOMNIA COOKIES,F,STRSTR,14.21,1/29/2014
WALGREENS,G,STRSTR,3.63,1/29/2014
PAPA JOHN'S,F,ONLONL,21.87,1/30/2014
BEVANDE,F,STRSTR,3.99,1/31/2014
CASABLANCA,F,STRSTR,6.18,1/31/2014
COUNTY MARKET,G,STRSTR,35.49,1/31/2014
MIRCH MASALA,G,STRSTR,25.69,2/1/2014
WALGREENS,G,STRSTR,4.67,2/1/2014
BEVANDE,F,STRSTR,3.99,2/3/2014
COUNTY MARKET,G,STRSTR,33.00,2/4/2014
BASIL THAI,F,STRSTR,8.71,2/6/2014
PANDA EXPRESS,F,STRSTR,7.22,2/7/2014
FLAT TOP GRILL,F,STRSTR,30.42,2/8/2014
NOODLES & COMPANY,F,STRSTR,9.56,2/9/2014
BEVANDE,F,STRSTR,3.99,2/11/2014
PANERA BREAD,F,STRSTR,9.30,2/12/2014
ESPRESSOROYAL,F,STRSTR,2.84,2/15/2014
BEVANDE,F,STRSTR,4.70,2/20/2014
PANERA BREAD,F,STRSTR,9.50,2/21/2014
WAL-MART,G,STRSTR,46.41,2/24/2014
ZAS ITALIAN CAFE,F,STRSTR,7.67,2/24/2014
BEVANDE,F,STRSTR,6.34,2/25/2014
WALGREENS,G,STRSTR,10.59,2/27/2014
AMC S BARRINGTON,S,STRSTR,6.75,3/1/2014
FANDANGO.COM,S,ONLONL,12.00,3/1/2014
MARIANOS,G,STRSTR,34.88,3/2/2014
PAPA JOHN'S,F,ONLONL,15.30,3/6/2014
ZAS ITALIAN CAFE,F,STRSTR,5.75,3/6/2014
NOODLES & COMPANY,F,STRSTR,8.76,3/7/2014
ZAS ITALIAN CAFE,F,STRSTR,8.49,3/10/2014
BEVIER CAFETERIA,F,STRSTR,3.27,3/11/2014
PANDA EXPRESS,F,STRSTR,1.92,3/11/2014
BEVANDE,F,STRSTR,3.99,3/12/2014
PAPA JOHN'S,F,ONLONL,10.00,3/13/2014
ANTONIOS PIZZA,F,STRSTR,3.40,3/14/2014
ESPRESSOROYAL,F,STRSTR,3.82,3/17/2014
TEDXUIUC,S,ONLONL,15.00,3/18/2014
BEVANDE,F,STRSTR,3.99,3/19/2014
BEVANDE,F,STRSTR,3.99,3/20/2014
COUNTY MARKET,G,STRSTR,21.76,3/20/2014
ONLINE FOOD ORDER,F,ONLONL,17.32,3/20/2014
ANTONIOS PIZZA,F,STRSTR,2.50,3/22/2014
THE BREAD COMPANY URBANA IL,F,STRSTR,28.67,3/22/2014
DAIRY QUEEN #11400 URBANA IL,F,STRSTR,2.73,3/23/2014
ONLINE FOOD ORDER,F,ONLONL,1.00,3/24/2014
DUNKIN,F,STRSTR,13.06,3/29/2014
AMAZON MKTPLACE,E,ONLONL,0.17,3/30/2014
