Item,Category,Type,Price,Date
AGACI,C,STRSTR,43.06,3/22/2014
MIAMI NAILS,S,ONLSTR,30.00,3/22/2014
PACSUN,C,ONLSTR,21.75,3/22/2014
WALMART,G,STRSTR,127.91,3/22/2014
NO. 7 SALON AND SPA,S,ONLSTR,55.00,3/20/2014
CHARLOTTE RUSSE,C,STRSTR,10.78,3/19/2014
PACSUN,C,ONLSTR,21.75,3/19/2014
FOREVER 21,C,STRSTR,15.04,3/19/2014
PANERA BREAD,F,STRSTR,6.56,3/18/2014
COUNTY MARKET,G,STRSTR,1.85,3/17/2014
TARGET,C,ONLONL,58.41,3/16/2014
SUBWAY,F,STRSTR,3.87,3/15/2014
H&M,C,STRSTR,24.75,3/14/2014
SHELL OIL,S,STRSTR,46.16,3/14/2014
FOREVER 21,C,STRSTR,50.26,3/14/2014
SEPHORA,G,ONLSTR,27.32,3/14/2014
SUBURBAN EXPRESS,S,ONLONL,29.95,3/13/2014
COUNTY MARKET,G,STRSTR,2.34,3/12/2014
LEGENDS,F,STRSTR,18.00,3/12/2014
COUNTY MARKET,G,STRSTR,5.47,3/12/2014
SUBURBAN EXPRESS,S,ONLONL,29.95,3/12/2014
COUNTY MARKET,G,STRSTR,2.34,3/10/2014
FOREVER 21,C,STRSTR,16.13,3/10/2014
COUNTY MARKET,G,STRSTR,5.44,3/9/2014
COUNTY MARKET,G,STRSTR,29.16,3/9/2014
THE CLYBOURNE,F,STRSTR,6.00,3/8/2014
CHIPTOTLE,F,STRSTR,6.84,3/8/2014
SUSHI ROCK,F,STRSTR,33.60,3/6/2014
WALMART,G,STRSTR,16.08,3/6/2014
EL TORO BRAVO,F,STRSTR,34.00,3/5/2014
WALGREENS,G,STRSTR,1.73,3/3/2014
KFC,F,STRSTR,4.83,3/2/2014
TORTILLARIA,F,STRSTR,17.00,3/1/2014
COUNTY MARKET,G,STRSTR,2.34,2/27/2014
CHIPOTLE 0771,F,STRSTR,6.84,2/25/2014
COUNTY MARKET,G,STRSTR,4.70,2/25/2014
AMBAR INDIA CHAMPAIGN IL,F,ONLSTR,10.80,2/24/2014
TGI FRIDAYS,F,STRSTR,16.50,2/23/2014
PANERA BREAD,F,STRSTR,13.22,2/23/2014
JOE'S BREWERY,F,STRSTR,9.74,2/23/2014
RAGSTOCK,C,STRSTR,13.04,2/22/2014
BANGKOK THAI,F,STRSTR,6.65,2/21/2014
COLDSTONE,F,ONLSTR,6.85,2/18/2014
PANDA EXPRESS,F,STRSTR,7.22,2/17/2014
LEGENDS ,F,STRSTR,8.00,2/17/2014
PIZZA HUT,F,ONLONL,16.54,2/16/2014
WALGREENS,G,STRSTR,1.53,2/14/2014
BANGKOK THAI,F,STRSTR,5.55,2/14/2014
HOBBY LOBBY,G,STRSTR,29.88,2/13/2014
DEN,F,STRSTR,37.04,2/13/2014
DEN,F,STRSTR,37.29,2/13/2014
TACO BELL #16248,F,STRSTR,4.69,2/13/2014
TORTICAS GRILL,F,STRSTR,18.00,2/12/2014
PENN STATION,F,STRSTR,8.85,2/12/2014
COUNTY MARKET ,G,STRSTR,2.34,2/11/2014
EASTSTREET.COM,F,ONLONL,13.38,2/10/2014
COUNTY MARKET,G,STRSTR,3.01,2/10/2014
BANGKOK THAI,F,STRSTR,8.75,2/9/2014
COUNTYMARKET,G,STRSTR,1.41,2/9/2014
BANGKOK THAI,F,STRSTR,8.75,2/9/2014
ANTONIOS PIZZA,F,STRSTR,5.35,2/8/2014
WALGREENS,G,STRSTR,13.59,2/6/2014
MURPHY'S PUB,F,STRSTR,11.00,2/6/2014
LEGENDS,F,STRSTR,23.00,2/5/2014
COUNTY MARKET,G,STRSTR,28.75,2/4/2014
COUNTY MARKET,G,STRSTR,8.84,2/2/2014
APRICOT LANE CHAMPAIGN,C,STRSTR,23.38,2/2/2014
COUNTY MARKET,G,STRSTR,12.52,2/1/2014
SEVEN SAINTS,F,STRSTR,4.50,2/1/2014
COUNTY MARKET,G,STRSTR,3.26,2/1/2014
COUNTY MARKET,G,STRSTR,6.86,2/1/2014
DESTIHL,F,STRSTR,22.49,2/1/2014
COUNTY MARKET ,G,STRSTR,0.96,1/31/2014
COUNTY MARKET,G,STRSTR,46.93,1/31/2014
COUNTY MARKET,G,STRSTR,55.43,1/28/2014
BANGKOK THAI,F,STRSTR,5.55,1/24/2014
SUSHI ROCK,F,STRSTR,9.37,1/24/2014
ULTA,G,ONLSTR,36.00,1/20/2014
COUNTY MARKET,G,STRSTR,13.06,1/20/2014
TACO BELL #16248,F,STRSTR,8.03,1/20/2014
FOREVER 21,C,STRSTR,28.44,1/18/2014
EXPRESS,C,STRSTR,8.70,1/18/2014
