Item,Category,Type,Price,Date
Starbucks,F,STRSTR,5.00,3/31/2014
Meat Heads Burgers,F,STRSTR,3.33,3/31/2014
Charter Communications,S,ONLONL,30.00,3/31/2014
McDonald's,F,STRSTR,2.42,3/31/2014
Metra Union Statio,S,STRSTR,5.75,3/31/2014
Visionworks,E,ONLSTR,19.00,3/31/2014
Intelligentsia Cof,F,STRSTR,4.82,3/31/2014
Visionworks,E,ONLSTR,19.00,3/31/2014
Culver Schaum,F,STRSTR,5.15,3/28/2014
Starbucks,F,STRSTR,5.00,3/28/2014
Check 1041,S,STRSTR,39.70,3/27/2014
Cup Vine,F,STRSTR,4.39,3/27/2014
Red Mango,F,STRSTR,3.10,3/26/2014
Tony Finer Foods,G,STRSTR,10.82,3/26/2014
Great Clips,S,STRSTR,10.00,3/25/2014
Espresso Royale,F,STRSTR,3.06,3/24/2014
Eb Tedxuiuc,S,ONLONL,15.00,3/24/2014
Stree,G,STRSTR,1.62,3/21/2014
Suburban Express,S,STRSTR,29.95,3/20/2014
Espresso Royale,F,STRSTR,2.46,3/20/2014
Stree,G,STRSTR,3.56,3/20/2014
Basil Thai Urba,F,STRSTR,17.41,3/19/2014
Sakanaya,F,STRSTR,18.85,3/18/2014
Pavlov Media,S,ONLONL,29.99,3/17/2014
Espresso Royale,F,STRSTR,2.40,3/17/2014
Legend,F,STRSTR,6.00,3/17/2014
Aroma Cafe,F,STRSTR,3.67,3/17/2014
Buffalo Wild Wings,F,STRSTR,13.27,3/17/2014
Meijer,G,STRSTR,38.07,3/17/2014
Dairy Queen,F,STRSTR,3.15,3/17/2014
Bevande,F,STRSTR,1.80,3/14/2014
Espresso Royale,F,STRSTR,2.46,3/13/2014
Bevande,F,STRSTR,2.08,3/12/2014
Espresso Royale,F,STRSTR,3.00,3/11/2014
Destihl Llc,F,STRSTR,13.09,3/10/2014
Radio Maria,F,STRSTR,23.40,3/10/2014
Taco Bell,F,STRSTR,3.37,3/10/2014
Stree,G,STRSTR,18.71,3/7/2014
Zorba Restaurant,F,STRSTR,7.02,3/6/2014
Espresso Royale,F,STRSTR,2.46,3/6/2014
Stree,G,STRSTR,24.51,3/6/2014
University G Resident,S,STRONL,460.95,3/5/2014
Starbucks,F,STRSTR,5.00,3/5/2014
Panda Express,F,STRSTR,6.12,3/5/2014
Panda Express,F,STRSTR,6.12,3/4/2014
Cf Sales,E,STRSTR,13.25,3/4/2014
Starbucks,F,STRSTR,5.00,3/4/2014
Microsoft,E,ONLONL,10.61,3/4/2014
Espresso Royale,F,STRSTR,2.19,3/4/2014
Stree,G,STRSTR,4.02,3/3/2014
Dunkin Donuts,F,STRSTR,3.49,3/3/2014
Dunkin Donuts,F,STRSTR,3.27,2/28/2014
Starbucks,F,STRSTR,1.52,2/28/2014
Niro Gyros,F,STRSTR,7.10,2/28/2014
Cravings,F,STRSTR,8.70,2/28/2014
Dunkin Donuts,F,STRSTR,2.16,2/27/2014
