Item,Category,Type,Price,Date
MACY'S,C,ONLSTR,85.47,12/3/2013
ATT*WI-FI SERVICES WAYPORT,S,ONLONL,14.95,12/5/2013
ATT*WI-FI SERVICES WAYPORT,S,ONLONL,14.95,12/7/2013
Firehaus,F,STRSTR,115,12/11/2013
CHIPOTLE 0771,F,ONLSTR,$8.81,12/13/2013
CHIPOTLE 0771,F,ONLSTR,$8.81,12/14/2013
FANDANGO.COM,S,ONLONL,24.00,12/16/2013
Subway,F,STRSTR,7.57,12/17/2013
AMEREN ILLINOIS ONLINE PMT,S,ONLONL,217.17,12/20/2013
ZARA,C,ONLONL,110.34,12/22/2013
AMAZON.COM,E,ONLONL,320.99,12/30/2013
APPLE.COM,E,ONLONL,356.79,1/1/2014
FANDANGO.COM,S,ONLONL,24.00,1/3/2014
PINSTRIPES S BARRINGTON IL,F,STRSTR,6,1/9/2014
ZARA,C,ONLONL,179.51,1/13/2014
Subway,F,STRSTR,7.57,1/14/2014
FANDANGO.COM,S,ONLONL,24.00,1/14/2014
AMEREN ILLINOIS ONLINE PMT,S,ONLONL,285.11,1/20/2014
CHIPOTLE 0771,F,ONLSTR,$8.81,1/20/2014
COUNTY MARKET,G,STRSTR,21.35,1/21/2014
MACY'S,C,STRSTR,115.66,1/21/2014
Brother's,F,STRSTR,39,1/22/2014
Legends,F,STRSTR,23.00,1/23/2014
Murphy's,F,STRSTR,12,1/24/2014
Brother's,F,STRSTR,52,1/25/2014
WALMART,H,STRSTR,53.00,1/27/2014
CHIPOTLE 0771,F,ONLSTR,$8.81,1/29/2014
Brother's,F,STRSTR,68,1/30/2014
ZARA,C,ONLSTR,75.62,2/4/2014
COUNTY MARKET,G,STRSTR,21.35,2/5/2014
WALMART,H,STRSTR,25.00,2/5/2014
Legends,F,STRSTR,35,2/11/2014
Subway,F,STRSTR,8.58,2/13/2014
MACY'S,C,ONLONL,245.11,2/13/2014
COUNTY MARKET,G,STRSTR,21.35,2/14/2014
SAVOY 16,S,ONLSTR,16.00,2/14/2014
Murphy's,F,STRSTR,15,2/15/2014
SWAROVSKI,C,STRSTR,110.55,2/17/2014
AMAZON.COM,E,ONLONL,47.99,2/18/2014
AMEREN ILLINOIS ONLINE PMT,S,ONLONL,244.65,2/20/2014
COUNTY MARKET,G,STRSTR,21.35,2/22/2014
CHIPOTLE 0771,F,ONLSTR,$8.81,2/24/2014
Legends,F,STRSTR,13,2/27/2014
Murphy's,F,STRSTR,18,2/28/2014
Subway,F,STRSTR,8.58,3/4/2014
EINSTEIN'S #6182 STORE,F,STRSTR,$1.48,3/6/2014
NOODLES & COMPANY 9502,F,STRSTR,$18.01,3/7/2014
THE CRACKED TRUCK,F,STRSTR,$25.00,3/8/2014
MERRY ANNS DINER URBANA,F,STRSTR,$15.85,3/8/2014
POTBELLY 069,F,STRSTR,$7.87,3/10/2014
FLAT TOP GRILL #214,F,STRSTR,$15.00,3/10/2014
MERRY ANNS DINER URBANA,F,STRSTR,$2.74,3/11/2014
AMAZON.COM,E,ONLONL,52.16,3/11/2014
AMBAR INDIA,F,STRSTR,$19.60,3/12/2014
Firehaus,F,STRSTR,78,3/12/2014
CHIPOTLE 0771,F,ONLSTR,$8.81,3/12/2014
JOE'S BREWERY,F,STRSTR,$10.89,3/13/2014
Legends,F,STRSTR,16,3/13/2014
CHIPOTLE 0771,F,STRSTR,$8.81,3/14/2014
STARBUCKS #09706 CHAMPAIG,F,STRSTR,$4.11,3/14/2014
Murphy's,F,STRSTR,12,3/14/2014
EINSTEIN'S #6182 STORE,F,STRSTR,$1.48,3/16/2014
SUBWAY 00006429,F,STRSTR,$7.12,3/17/2014
THE CRACKED TRUCK,F,STRSTR,$25.00,3/18/2014
COUNTY MARKET,G,STRSTR,21.35,3/18/2014
WALMART,H,STRSTR,84.00,3/18/2014
THE CRACKED TRUCK,F,STRSTR,$4.50,3/19/2014
Brother's,F,STRSTR,83,3/19/2014
BUFFALO WILD WINGS CHAMPAIGN,F,STRSTR,$45.00,3/20/2014
AMEREN ILLINOIS ONLINE PMT,S,ONLONL,233.48,3/20/2014
ZARA,C,ONLSTR,51.49,3/20/2014
CHIPOTLE 0771,F,ONLSTR,$8.81,3/21/2014
STARBUCKS #09706 CHAMPAIGN,F,STRSTR,$5.20,3/21/2014
BASIL THAI AT URBANA,F,STRSTR,$10.35,3/21/2014
CANTEEN VENDING,F,STRSTR,$2.00,3/24/2014
TACO BELL #16248,F,STRSTR,$5.66,3/25/2014
STARBUCKS #09706 CHAMPAIGN,F,STRSTR,$4.38,3/25/2014
Legends,F,STRSTR,45,3/25/2014
DOMINO'S 2921,F,ONLONL,$14.00,3/27/2014
SUBWAY ,F,STRSTR,$11.72,3/28/2014
Brother's,F,STRSTR,45,3/28/2014
COUNTY MARKET,G,STRSTR,21.35,3/30/2014
